year,month,day,hour,hourSin,hourCos,upper,lower,PVout,radiation flux,temperature,total precipitation,u-component of wind,v-component of wind,pressure,relative humidity
2022,9,3,8.5,0.7933533402912352,-0.6087614290087207,4.5066075,0.0,2.2533038,138.70108819007874,22.47010192871096,0.0,-1.0820465087890625,-1.244853973388672,1015.919464111328,80.36644172668457
2022,9,3,9.0,0.7071067811865476,-0.7071067811865475,4.796605,0.0,2.3983026,196.8461844921112,22.9628845214844,0.0,-1.3504295349121094,-1.1384353637695312,1015.96142578125,79.42391204833984
2022,9,3,9.5,0.6087614290087209,-0.793353340291235,4.717225,0.0,2.3586125,248.26096546649933,23.375909423828148,0.0,-1.2405376434326172,-1.319232940673828,1015.8975830078124,78.63922309875488
2022,9,3,10.0,0.49999999999999994,-0.8660254037844387,4.675412,0.0,2.337706,299.67574644088745,23.788934326171898,0.0,-1.130645751953125,-1.500030517578125,1015.833740234375,77.85453414916992
2022,9,3,10.5,0.3826834323650899,-0.9238795325112867,4.969558,0.0,2.484779,290.1753761768341,24.050439453125023,0.0,-1.4480056762695312,-1.3054161071777344,1015.5111694335938,77.21822452545166
2022,9,3,11.0,0.258819045102521,-0.9659258262890682,5.2819185,0.0,2.6409593,280.6750059127808,24.311944580078148,0.0,-1.7653656005859375,-1.1108016967773438,1015.1885986328124,76.5819149017334
2022,9,3,11.5,0.130526192220052,-0.9914448613738104,5.4723864,0.0,2.7361932,313.4283661842346,24.590615844726585,0.0,-1.906808853149414,-1.0083732604980469,1014.8042907714844,75.4721851348877
2022,9,3,12.0,1.2246467991473532e-16,-1.0,5.6773353,0.0,2.8386676,346.1817264556885,24.869287109375023,0.0,-2.04825210571289,-0.90594482421875,1014.4199829101562,74.36245536804199
2022,9,3,12.5,-0.13052619222005177,-0.9914448613738104,5.9181585,0.0,2.9590793,371.77593779563904,25.066583251953148,0.0,-2.224069595336914,-0.8435096740722656,1014.1136169433594,73.49528694152832
2022,9,3,13.0,-0.2588190451025208,-0.9659258262890683,6.160627,0.0,3.0803134,397.3701491355896,25.263879394531276,0.0,-2.399887084960937,-0.7810745239257812,1013.8072509765624,72.62811851501465
2022,9,3,13.5,-0.38268343236508967,-0.9238795325112868,6.1797166,0.0,3.0898583,389.18702387809753,25.259637451171898,0.0,-2.435579299926758,-0.7530612945556641,1013.60595703125,72.24046230316162
2022,9,3,14.0,-0.4999999999999997,-0.8660254037844388,6.202533,0.0,3.1012664,381.0038986206055,25.255395507812523,0.0,-2.471271514892578,-0.7250480651855469,1013.4046630859376,71.8528060913086
2022,9,3,14.5,-0.6087614290087207,-0.7933533402912352,6.1326485,0.0,3.0663242,342.1798758506775,25.149819946289085,0.0,-2.4704360961914062,-0.5907058715820312,1013.2490234375,71.49391269683838
