year,month,day,hour,hourSin,hourCos,upper,lower,PVout,price,imbalance,PVout_true,price_true,imbalance_true
2023,1,2,21,-0.707106781,0.853553391,0,0,0,20.783504,21.994114,0,23.01,23.33
2023,1,2,21.5,-0.608761429,0.89667667,0,0,0,20.450556,21.97639,0,22.91,24.05
2023,1,2,22,-0.5,0.933012702,0,0,0,20.231543,22.008842,0,23.07,23.23
2023,1,2,22.5,-0.382683432,0.961939766,0,0,0,20.03111,22.01151,0,23.06,23.47
2023,1,2,23,-0.258819045,0.982962913,0,0,0,19.898462,22.023022,0,23.07,23.12
2023,1,2,23.5,-0.130526192,0.995722431,0,0,0,19.721731,21.907974,0,23.07,23.61
2023,1,3,0,0,1,0,0,0,19.240427,21.273014,0,22.45,22.65
2023,1,3,0.5,0.130526192,0.995722431,0,0,0,19.32492,21.344223,0,22.71,22.76
2023,1,3,1,0.258819045,0.982962913,0,0,0,19.514067,21.474947,0,21.86,22.88
2023,1,3,1.5,0.382683432,0.961939766,0,0,0,19.838068,21.741535,0,21.86,22.92
2023,1,3,2,0.5,0.933012702,0,0,0,20.229025,22.005802,0,21.86,22.95
2023,1,3,2.5,0.608761429,0.89667667,0,0,0,20.64446,22.227175,0,21.79,23.05
2023,1,3,3,0.707106781,0.853553391,0,0,0,21.112444,22.427408,0,21.86,27.55
2023,1,3,3.5,0.79335334,0.804380715,0,0,0,21.44678,22.487404,0,21.92,23.13
2023,1,3,4,0.866025404,0.75,1.4180119,0,0.70900595,19.292568,18.782192,0,21.79,17.2
2023,1,3,4.5,0.923879533,0.691341716,1.442725,0,0.7213625,19.426992,18.96777,0,21.92,21.83
2023,1,3,5,0.965925826,0.629409523,1.4673502,0,0.7336751,19.555147,19.294357,0,21.79,28.53
2023,1,3,5.5,0.991444861,0.565263096,1.5060273,0,0.7530137,19.528801,19.668507,0,21.95,21.83
2023,1,3,6,1,0.5,1.5449133,0,0.77245665,19.932749,20.464119,0,21.95,22.21
2023,1,3,6.5,0.991444861,0.434736904,1.5570767,0,0.77853835,20.462711,21.359886,0,21.86,23.69
2023,1,3,7,0.965925826,0.370590477,1.5692401,0,0.78462005,20.982504,22.24213,0,22.54,20.43
2023,1,3,7.5,0.923879533,0.308658284,1.5503054,0,0.7751527,20.487535,22.003113,0.072538616,22.98,25.91
2023,1,3,8,0.866025404,0.25,1.5352056,0,0.7676028,21.462587,22.844372,0.159512205,23.28,26.11
2023,1,3,8.5,0.79335334,0.195619285,1.4771113,0,0.73855567,21.348799,22.633663,0.323514369,22.84,24.16
2023,1,3,9,0.707106781,0.146446609,1.3782017,0,0.68910086,21.644693,22.485588,0.430984472,21.35,22.19
2023,1,3,9.5,0.608761429,0.10332333,1.2925041,0,0.64625204,21.232275,22.009747,0.598599862,17.21,17.91
2023,1,3,10,0.5,0.066987298,1.211466,0,0.605733,20.537424,21.306343,0.736820764,13.35,16.38
2023,1,3,10.5,0.382683432,0.038060234,1.2022713,0,0.6011357,19.949104,20.751398,0.841264617,12.46,12.52
2023,1,3,11,0.258819045,0.017037087,1.1932542,0,0.5966271,19.196325,19.9677,1.006364508,10,8.86
2023,1,3,11.5,0.130526192,0.004277569,1.1971886,0,0.5985943,18.765368,19.58091,0.948622828,1.88,0
2023,1,3,12,1.22E-16,0,1.197456,0,0.598728,18.192875,18.968918,1.045918609,1,0
2023,1,3,12.5,-0.130526192,0.004277569,1.169541,0,0.5847705,18.093376,18.889969,1.070889024,0.03,0
2023,1,3,13,-0.258819045,0.017037087,1.1328999,0,0.56644994,17.871494,18.578083,1.027046314,1,0
2023,1,3,13.5,-0.382683432,0.038060234,1.1420008,0,0.5710004,17.835024,18.5364,1.032912048,1,0
2023,1,3,14,-0.5,0.066987298,1.1501379,0,0.57506895,17.714405,18.341534,0.9159886,2.44,0
