,predict,target
631,5.196032,6.74
632,6.6900363,6.74
633,7.754521,6.83
634,8.178754,6.92
635,8.234079,8.94
636,8.151702,9.01
637,8.051737,9.07
638,7.9723587,9.06
639,7.9029756,7.09
640,7.8780026,7.09
641,7.8731413,6.7
642,7.862287,6.64
643,7.8328648,6.91
644,7.7826514,6.31
645,7.71738,6.0
646,7.6477413,5.99
647,7.588586,4.44
648,7.556259,4.44
649,7.5668626,4.74
650,7.633079,5.0
651,7.7605224,6.17
652,7.944988,6.17
653,8.1720705,6.3
654,8.420635,6.4
655,8.666904,6.64
656,8.889198,6.7
657,9.071811,8.97
658,9.206966,9.14
659,9.294341,9.13
660,9.338605,9.13
661,9.346591,9.06
662,9.32525,9.06
663,9.280557,9.0
664,9.217281,8.98
665,9.137995,8.73
666,9.04407,7.96
667,8.939979,8.82
668,8.8272915,8.22
669,8.710365,8.42
670,8.594451,7.46
671,8.489671,7.01
672,0.2754943,6.91
673,0.51351565,6.88
674,0.95170635,6.85
675,1.6410519,6.75
676,2.6444268,6.73
677,4.1158805,6.69
678,6.1309032,6.69
679,8.233142,6.69
680,9.448046,6.69
681,9.704128,6.69
682,9.592892,6.71
683,9.480423,6.9
684,9.357315,6.92
685,9.258829,6.92
686,9.31343,6.92
687,9.464857,9.0
688,9.643838,9.0
689,9.729466,8.95
690,9.762445,8.67
691,9.76005,7.42
692,9.677455,6.84
693,9.517043,6.76
694,9.318128,6.58
695,9.096787,5.95
696,8.85324,5.24
697,8.646291,5.74
698,8.526177,5.74
699,8.4754305,4.74
700,8.456839,5.74
701,8.46793,5.95
702,8.501222,6.0
703,8.542651,6.01
704,8.606262,6.31
705,8.307812,6.8
706,8.198344,6.86
707,8.27941,7.21
708,8.485208,7.21
709,8.755173,7.17
710,9.034759,6.93
711,9.295333,6.85
712,9.518791,6.85
713,9.695066,6.7
714,9.820716,6.7
715,9.896292,6.6
716,9.923325,6.6
717,9.903822,6.43
718,9.841466,6.43
719,9.745062,6.18
720,0.2754943,5.57
721,0.4790213,6.01
722,0.79370016,6.01
723,1.27898,5.9
724,2.0043592,5.57
725,3.0475638,5.32
726,4.478235,5.32
727,6.195088,5.32
728,7.678681,5.32
729,8.355643,5.32
730,8.389239,5.57
731,8.176743,5.34
732,7.942137,6.2
733,7.763906,6.17
734,7.6737475,6.24
735,7.6375036,7.04
736,7.621549,7.42
737,7.603027,4.38
738,7.5719414,4.38
739,7.5280046,4.64
740,7.4795156,4.38
741,7.436118,4.31
742,7.411224,4.31
743,7.4183207,4.31
744,7.468816,4.29
745,7.570003,4.29
746,7.7230654,4.31
747,7.920537,4.38
748,8.147099,4.38
749,8.382986,4.29
750,8.608094,4.38
751,8.805543,6.01
752,8.964135,6.17
753,9.079125,6.83
754,9.151276,6.88
755,9.184907,8.91
756,9.185877,8.91
757,9.160106,8.98
758,9.112791,8.98
759,9.048217,8.83
760,8.96984,8.83
761,8.879392,7.61
762,8.777732,7.24
763,8.66639,6.82
764,8.551323,6.75
765,8.437625,6.6
766,8.330749,6.52
767,8.239566,6.31
768,0.2754943,6.19
769,0.4790213,6.22
770,0.79370016,6.22
771,1.27898,6.19
772,2.0043592,6.19
773,3.0228293,6.2
774,4.3728566,6.2
775,5.9326825,6.22
776,7.2689824,6.22
777,7.9755096,6.36
778,8.1330185,6.36
779,8.032252,6.47
780,7.8664374,6.56
781,7.7202096,6.49
782,7.6220913,6.57
783,7.568645,6.34
784,7.545083,6.34
785,7.5283732,6.3
786,7.5044513,6.2
787,7.470426,9.11
788,7.430253,8.98
789,7.393781,6.26
790,7.372071,6.26
791,7.379987,6.17
792,7.4286547,6.17
793,7.5263596,6.17
794,7.675104,6.17
795,7.8688927,6.17
796,8.093337,6.17
797,8.328842,6.23
798,8.555086,6.23
799,8.754697,7.24
800,8.915973,8.76
801,9.033751,7.48
802,9.10854,8.82
803,9.144563,9.16
804,9.147671,9.16
805,9.123804,9.07
806,9.078202,9.07
807,9.015176,9.03
808,8.93777,9.03
809,8.848333,8.98
810,8.747973,8.81
811,8.64047,7.03
812,8.528304,6.88
813,8.415021,6.74
814,8.304527,6.68
815,8.20308,6.67
816,0.2691053,6.56
817,0.4510849,6.45
818,0.7156082,6.45
819,1.1209486,6.36
820,1.7394584,6.36
821,2.6519527,6.36
822,3.945353,6.45
823,5.6218767,6.49
824,7.308009,6.49
825,8.282525,6.71
826,8.467462,6.73
827,8.283401,8.84
828,8.027902,8.97
829,7.865322,8.98
830,7.783531,8.98
831,7.7351017,7.65
832,7.7351513,8.6
833,7.729684,7.85
834,7.7127185,7.49
835,7.6837063,7.03
836,7.624998,7.03
837,7.5649314,7.27
838,7.5137076,7.27
839,7.486103,6.93
840,7.4969754,6.93
841,7.5619593,7.1
842,7.6857324,7.1
843,7.8655915,6.9
844,8.089065,6.9
845,8.335246,7.17
846,8.580055,7.17
847,8.801627,7.81
848,8.984217,8.93
849,9.120289,9.02
850,9.209694,9.08
851,9.256986,9.11
852,9.268644,9.04
853,9.251202,8.99
854,9.210336,8.99
855,9.150668,8.91
856,9.075445,8.61
857,8.977174,7.24
858,8.865913,7.24
859,8.752023,7.05
860,8.644918,7.05
861,8.549492,7.63
862,8.468876,7.63
863,8.407589,6.66
864,0.2754943,6.55
865,0.4790213,6.52
866,0.79370016,6.52
867,1.3391211,6.45
868,2.2473664,6.36
869,3.6788056,6.42
870,5.8221207,6.42
871,8.29246,6.39
872,9.723602,6.39
873,9.772907,6.51
874,9.483385,6.58
875,9.269124,7.16
876,9.110357,7.52
877,9.046749,9.09
878,9.083675,9.09
879,9.165891,9.34
880,9.250015,9.34
881,9.300579,9.5
882,9.311382,9.48
883,9.267084,9.39
884,9.171356,9.36
885,9.036799,9.17
886,8.876821,9.15
887,8.819905,7.2
888,8.780884,7.2
889,8.721381,7.08
890,8.636275,7.08
891,8.539622,6.8
892,8.467926,6.8
893,8.457856,7.08
894,8.341761,7.08
895,8.259102,8.74
896,8.290597,8.74
897,8.424958,9.21
898,8.641926,9.21
899,8.919294,9.49
900,9.225594,9.49
901,9.522155,9.3
902,9.779517,9.23
903,9.980488,9.13
904,10.119246,9.13
905,10.198818,8.99
906,10.22553,8.99
907,10.205388,9.01
908,10.143805,9.01
909,10.04597,7.62
910,9.927197,7.62
911,9.79627,6.75
912,0.2754943,6.68
913,0.4790213,6.68
914,0.79370016,6.59
915,1.27898,6.52
916,2.0043592,6.52
917,3.0475638,6.46
918,4.478235,6.46
919,6.195088,6.53
920,7.678681,6.54
921,8.355643,6.69
922,8.389239,6.77
923,8.176743,8.99
924,7.942137,9.05
925,7.763906,9.13
926,7.6752625,9.13
927,7.639174,9.04
928,7.6251936,9.04
929,7.607282,9.03
930,7.5783343,8.98
931,7.5358114,7.09
932,7.488669,7.09
933,7.433868,6.73
934,7.420524,6.73
935,7.4220524,6.34
936,7.4755445,6.34
937,7.583907,6.56
938,7.732538,6.56
939,7.9312735,6.67
940,8.163072,6.67
941,8.40306,6.86
942,8.631291,6.86
943,8.828269,8.84
944,8.983642,8.98
945,9.094309,9.35
946,9.162127,9.54
947,9.191965,9.54
948,9.189889,9.54
949,9.1617565,9.46
950,9.11261,9.46
951,9.04659,9.34
952,8.966613,9.23
953,8.874939,9.2
954,8.772612,9.2
955,8.661171,9.18
956,8.546276,9.18
957,8.433528,9.08
958,8.330164,9.0
959,8.243048,7.49
960,0.2691053,7.49
961,0.45998126,7.19
962,0.7547426,7.19
963,1.212649,6.98
964,1.9043821,6.95
965,2.9083314,6.89
966,4.301837,6.9
967,6.019904,6.98
968,7.5784483,6.98
969,8.342956,7.22
970,8.415356,7.58
971,8.207944,9.24
972,7.965966,9.34
973,7.8273063,9.24
974,7.7623024,9.19
975,7.730714,8.95
976,7.7305727,8.98
977,7.729765,7.78
978,7.7146797,7.49
979,7.679785,6.74
980,7.6291637,6.74
981,7.572728,6.6
982,7.522593,6.6
983,7.4935465,6.17
984,7.5000067,6.17
985,7.554707,6.59
986,7.6647706,6.59
987,7.8300486,6.77
988,8.040801,6.85
989,8.278781,8.87
990,8.521854,8.95
991,8.748983,9.07
992,8.943084,9.07
993,9.09379,9.42
994,9.19796,9.49
995,9.258187,9.83
996,9.280243,9.56
997,9.2708,9.41
998,9.236017,9.35
999,9.181005,9.21
1000,9.1093645,9.21
1001,9.023819,9.1
1002,8.925695,9.03
1003,8.815677,9.09
1004,8.700211,9.09
1005,8.585029,8.99
1006,8.47698,8.99
1007,8.386267,9.07
1008,0.2754943,9.07
1009,0.4790213,8.34
1010,0.79370016,7.61
1011,1.27898,7.49
1012,2.0043592,7.42
1013,3.125066,7.34
1014,4.817818,7.34
1015,7.098706,7.34
1016,9.135938,7.34
1017,9.758633,7.34
1018,9.616348,7.61
1019,9.369909,7.6
1020,9.218538,8.9
1021,9.0867405,8.88
1022,9.081059,8.84
1023,9.155795,8.98
1024,9.247666,8.99
1025,9.329977,7.06
1026,9.369443,7.16
1027,9.369019,6.97
1028,9.2526455,6.55
1029,9.07968,6.39
1030,8.886362,6.39
1031,8.675488,6.07
1032,8.5288925,6.07
1033,8.412184,6.13
1034,8.320527,6.13
1035,8.282274,6.19
1036,8.315432,6.19
1037,8.406492,6.48
1038,8.244859,6.75
1039,8.252753,7.01
1040,8.4008045,7.01
1041,8.649342,9.09
1042,8.953893,9.09
1043,9.26942,9.11
1044,9.55763,9.11
1045,9.792862,9.09
1046,9.964059,9.09
1047,10.072355,9.09
1048,10.125447,9.09
1049,10.115309,8.9
1050,10.043818,7.86
1051,9.935346,7.34
1052,9.808433,7.34
1053,9.676313,6.85
1054,9.553945,6.85
1055,9.459425,6.42
1056,0.29982764,6.42
1057,0.59218293,6.36
1058,1.1212397,6.36
1059,1.9995061,6.33
1060,3.3602445,6.33
1061,5.28547,6.31
1062,7.3531833,6.31
1063,8.520902,6.36
1064,8.686288,6.36
1065,8.471616,6.3
1066,8.235363,6.41
1067,8.046865,6.42
1068,7.960225,6.51
1069,7.9505157,6.43
1070,7.9525847,6.43
1071,7.969444,6.15
1072,7.987927,6.15
1073,7.969269,6.15
1074,7.908913,6.09
1075,7.831338,6.15
1076,7.7475696,6.01
1077,7.6722665,5.82
1078,7.619644,5.82
1079,7.6029506,5.82
1080,7.6380606,5.82
1081,7.730284,5.82
1082,7.8814764,5.82
1083,8.0839615,6.15
1084,8.320163,6.1
1085,8.567846,6.15
1086,8.804972,6.19
1087,9.0126095,6.21
1088,9.178643,6.4
1089,9.298155,6.85
1090,9.372235,6.98
1091,9.40582,9.07
1092,9.405381,9.07
1093,9.377313,9.09
1094,9.32711,9.09
1095,9.259223,9.02
1096,9.176726,9.0
1097,9.081964,8.9
1098,8.975976,8.9
1099,8.859924,6.92
1100,8.739499,6.92
1101,8.620056,6.65
1102,8.508421,6.65
1103,8.414848,6.38
1104,0.2754943,6.26
1105,0.4790213,6.3
1106,0.79370016,6.3
1107,1.27898,6.27
1108,2.0043592,6.27
1109,3.125066,6.26
1110,4.817818,6.26
1111,7.098706,6.41
1112,9.135938,6.41
1113,9.938251,6.5
1114,9.919213,6.5
1115,9.73425,6.94
1116,9.608355,7.17
1117,9.483779,9.03
1118,9.517728,9.03
1119,9.68189,9.26
1120,9.913648,9.35
1121,10.160361,9.87
1122,10.381494,9.87
1123,10.525626,9.9
1124,10.5935755,9.87
