Unnamed: 0,year,month,day,hour,Pressure,temperature,u-component of wind,v-component of wind,Relative humidity,Total cloud cover,Total precipitation,radiation flux
,2022,8,9,20.5,1006.2734375,28.587182617187523,0.8588771820068359,2.9205188751220703,80.39918327331543,33.7890625,0.0,0.0
,2022,8,9,21.0,1006.48779296875,28.428582763671898,0.9238176345825196,2.762367248535156,81.13917350769043,32.12890625,0.0,0.0
,2022,8,9,21.5,1006.3815612792968,28.26996765136721,1.1029911041259766,2.5955047607421875,81.6506986618042,33.6181640625,0.0,0.0
,2022,8,9,22.0,1006.2753295898438,28.111352539062523,1.2821645736694336,2.4286422729492188,82.16222381591797,35.107421875,0.0,0.0
,2022,8,9,22.5,1006.312530517578,27.948358154296898,1.2737493515014648,2.4523487091064453,82.62913131713867,32.51953125,0.0,0.0
,2022,8,9,23.0,1006.3497314453124,27.78536376953128,1.265334129333496,2.476055145263672,83.09603881835938,29.931640625,0.0,0.0
,2022,8,9,23.5,1006.3395080566406,27.653955078125023,1.2913413047790527,2.5512990951538086,83.48192882537842,47.021484375,0.0,0.0
,2022,8,10,0.0,1007.260498046875,27.852166748046898,1.801732063293457,2.812424659729004,79.5195369720459,72.998046875,0.0,0.0
,2022,8,10,0.5,1007.230987548828,27.761392211914085,1.836050033569336,2.689747333526612,79.75854396820068,57.9833984375,0.0,0.0
,2022,8,10,1.0,1007.2014770507812,27.67061767578128,1.8703680038452148,2.5670700073242188,79.99755096435547,42.96875,0.0,0.0
,2022,8,10,1.5,1006.9647216796876,27.531427001953148,1.6593899726867676,2.783511161804199,80.70591735839844,25.2685546875,0.0,0.0
,2022,8,10,2.0,1006.7279663085938,27.392236328125023,1.4484119415283203,2.99995231628418,81.4142837524414,7.568359375,0.0,0.0
,2022,8,10,2.5,1006.740264892578,27.268731689453148,1.4387965202331543,2.8393120765686035,82.25125503540039,29.6142578125,0.0,0.0
,2022,8,10,3.0,1006.7525634765624,27.14522705078128,1.4291810989379885,2.678671836853028,83.08822631835938,51.66015625,0.0,0.0
,2022,8,10,3.5,1006.7306213378906,27.056207275390648,1.3933682441711426,2.707067012786865,83.74052238464355,50.0244140625,0.0,0.0
,2022,8,10,4.0,1006.7086791992188,26.967187500000023,1.3575553894042969,2.735462188720703,84.39281845092773,48.388671875,0.0,0.0
,2022,8,10,4.5,1006.8330078125,26.90303955078128,1.302046298980713,2.7223544120788574,84.78957939147949,38.720703125,0.0,0.0
,2022,8,10,5.0,1006.9573364257812,26.838891601562523,1.246537208557129,2.709246635437012,85.18634033203125,29.052734375,0.0,0.0
,2022,8,10,5.5,1007.0152893066406,27.068627929687523,1.3068718910217283,2.8411874771118164,84.51311492919922,33.9111328125,0.0,24.65625
,2022,8,10,6.0,1007.0732421875,27.298364257812523,1.367206573486328,2.973128318786621,83.83988952636719,38.76953125,0.0,49.3125
,2022,8,10,6.5,1007.1847229003906,27.916116333007835,1.5882701873779297,3.080338478088379,81.58912658691406,33.642578125,0.0,124.10693603754044
,2022,8,10,7.0,1007.2962036132812,28.533868408203148,1.8093338012695312,3.1875486373901367,79.33836364746094,28.515625,0.0,198.90137207508087
