year,month,day,hour,PV_predict,PV_actual,energyprice_predict,energyprice_actual,imbalanceprice_predict,imbalanceprice_actual,charge/discharge_bid,charge/discharge_plan,charge/discharge_actual,SoC_bid,SoC_plan,SoC_actual,energytransfer_bid,energytransfer_plan,energytransfer_actual,profit
2022,8,23,10.5,0.7609758,,17.1310235,,21.06944,,-0.7609758,,,0.3359601962890625,,,0.0,,,
2022,8,23,11.0,0.8368466,,17.388422,,21.454319,,-0.4,,,9.84815769628906,,,0.2184233,,,
2022,8,23,11.5,0.90039194,,17.4732515,,21.610792,,0.4,,,14.84815769628906,,,0.45019597,,,
2022,8,23,12.0,0.9639828,,17.471222,,21.6943685,,-0.9639828,,,9.84815769628906,,,0.0,,,
2022,8,23,12.5,0.79934436,,18.6549375,,23.1388625,,-0.79934436,,,21.89794269628906,,,0.0,,,
2022,8,23,13.0,0.634706,,19.686653,,24.465418,,0.9,,,31.889747196289058,,,0.317353,,,
2022,8,23,13.5,0.6495242,,19.5266075,,24.1615735,,0.4,,,20.63974719628906,,,0.3247621,,,
2022,8,23,14.0,0.6642101,,19.3326415,,23.756542,,0.6255898878515624,,,15.63974719628906,,,0.33210505,,,
2022,8,23,14.5,0.6473367,,19.3627035,,23.53367,,0.3127949439257812,,,7.819873598144531,,,0.32366835,,,
2022,8,23,15.0,0.6304,,19.362555,,23.232165,,0.1563974719628906,,,3.909936799072265,,,0.3152,,,
2022,8,23,15.5,0.599244,,19.2921735,,22.839255,,-0.1,,,1.9549683995361329,,,0.249622,,,
2022,8,23,16.0,0.56808805,,19.076008,,22.42018,,0.1281987359814453,,,3.204968399536133,,,0.284044025,,,
2022,8,23,16.5,0.46039826,,18.933777,,22.1496485,,0.0640993679907226,,,1.6024841997680666,,,0.23019913,,,
2022,8,23,17.0,0.35270837,,18.3599665,,21.583215,,0.0320496839953613,,,0.8012420998840333,,,0.176354185,,,
2022,8,23,17.5,0.23902588,,18.1612225,,21.116623,,0.0160248419976806,,,0.4006210499420166,,,0.11951294,,,
2022,8,23,18.0,0.14116918,,18.514122,,20.972063,,-0.14116918,,,0.2003105249710083,,,0.0,,,
2022,8,23,18.5,0.11320883,,20.28904,,21.4768465,,0.0785970109988403,,,1.9649252749710084,,,0.056604415,,,
2022,8,23,19.0,0.08901221,,23.1088525,,22.34115,,0.0392985054994201,,,0.9824626374855042,,,0.044506105,,,
2022,8,23,19.5,0.087361224,,25.650978,,22.656311,,0.01964925274971,,,0.4912313187427521,,,0.043680612,,,
2022,8,23,20.0,0.0,,18.4522515,,22.784376,,-0.0,,,0.245615659371376,,,0.0,,,
2022,8,23,20.5,0.0,,17.332197,,22.077177,,-0.0,,,0.245615659371376,,,0.0,,,
2022,8,23,21.0,0.0,,16.4410325,,21.607885,,-0.0,,,0.245615659371376,,,0.0,,,
2022,8,23,21.5,0.0,,15.632963,,21.172617,,-0.0,,,0.245615659371376,,,0.0,,,
2022,8,23,22.0,0.0,,14.974819,,20.832325,,0.009824626374855,,,0.245615659371376,,,0.0,,,
2022,8,23,22.5,0.0,,14.4804785,,20.570204,,-0.0,,,0.122807829685688,,,0.0,,,
2022,8,23,23.0,0.0,,14.32485,,20.5152685,,-0.0,,,0.122807829685688,,,0.0,,,
2022,8,23,23.5,0.0,,14.1730555,,20.4149075,,-0.0,,,0.122807829685688,,,0.0,,,
