year,month,day,hour,temp,rain,weather,PVout[kW],price[yen/kW30m]
2019,11,12,5.5,12.2,0,2,0,6.91
2019,11,12,6,12.4,0,2,0,7.94
2019,11,12,6.5,12.4,0,2,-0.015,8.85
2019,11,12,7,14.4,0,2,0.026,8.86
2019,11,12,7.5,14.4,0,2,0.36,8.18
2019,11,12,8,17.3,0,2,0.569,6.92
2019,11,12,8.5,17.3,0,2,0.763,6.92
2019,11,12,9,19.3,0,2,0.924,6.66
2019,11,12,9.5,19.3,0,2,1.07,6.66
2019,11,12,10,20.7,0,2,1.167,6.34
2019,11,12,10.5,20.7,0,2,1.248,6.34
2019,11,12,11,21.4,0,2,1.297,6.28
2019,11,12,11.5,21.4,0,2,1.296,6.28
2019,11,12,12,22,0,2,1.297,6.13
2019,11,12,12.5,22,0,2,1.253,6.13
2019,11,12,13,22.2,0,2,1.171,6.36
2019,11,12,13.5,22.2,0,2,1.073,6.61
2019,11,12,14,21.9,0,2,0.956,7.2
2019,11,12,14.5,21.9,0,2,0.777,7.2
2019,11,12,15,21.5,0,2,0.608,8.87
2019,11,12,15.5,21.5,0,2,0.398,8.95
2019,11,12,16,20.5,0,2,0.18,9.85
2019,11,12,16.5,20.5,0,2,0.022,12.51
2019,11,12,17,19.4,0,2,-0.031,10.52
2019,11,12,17.5,19.4,0,2,0,10.54
2019,11,12,18,18.4,0,2,0,10.22
2019,11,12,18.5,18.4,0,2,0,9.92
2019,11,12,19,17.8,0,2,0,9.58
2019,11,12,19.5,17.8,0,2,0,9.24
2019,11,12,20,16.5,0,2,0,9.51
2019,11,12,20.5,16.5,0,2,0,9.42
2019,11,12,21,15.8,0,2,0,9.45
2019,11,12,21.5,15.8,0,2,0,8.85
2019,11,12,22,14.9,0,2,0,9.27
2019,11,12,22.5,14.9,0,2,0,8.89
2019,11,12,23,14.1,0,2,0,7.1
2019,11,12,23.5,14.1,0,2,0,7.1
2019,11,13,0,14.2,0,4,0,6.82
2019,11,13,0.5,14.2,0,4,0,6.82
2019,11,13,1,14,0,2,0,6.78
2019,11,13,1.5,14,0,2,0,6.78
2019,11,13,2,13.7,0,4,0,6.78
2019,11,13,2.5,13.7,0,4,0,6.78
2019,11,13,3,13.8,0,4,0,6.85
2019,11,13,3.5,13.8,0,4,0,6.85
2019,11,13,4,13.4,0,4,0,6.91
2019,11,13,4.5,13.4,0,4,0,7.24
2019,11,13,5,13,0,4,0,7.52
2019,11,13,5.5,13,0,4,0,7.52
2019,11,13,6,12.8,0,4,0,9.55
2019,11,13,6.5,12.8,0,4,-0.015,9.55
2019,11,13,7,13,0,2,0.048,9.24
2019,11,13,7.5,13,0,2,0.109,9.24
2019,11,13,8,13,0,4,0.119,7.24
2019,11,13,8.5,13,0,4,0.132,8.82
2019,11,13,9,14.7,0,4,0.422,6.87
2019,11,13,9.5,14.7,0,4,0.3,6.87
2019,11,13,10,16.7,0,4,0.43,6.66
2019,11,13,10.5,16.7,0,4,0.575,6.66
2019,11,13,11,18,0,4,0.543,6.82
2019,11,13,11.5,18,0,4,0.346,6.81
2019,11,13,12,18.3,0,4,0.728,6.63
2019,11,13,12.5,18.3,0,4,0.717,6.63
2019,11,13,13,18.7,0,4,1.207,9.4
2019,11,13,13.5,18.7,0,4,0.747,9.4
2019,11,13,14,18.5,0,4,0.375,9.51
2019,11,13,14.5,18.5,0,4,0.452,9.51
2019,11,13,15,17.7,0,10,0.176,12.26
2019,11,13,15.5,17.7,0,10,0.034,12.26
2019,11,13,16,17,0,10,0.075,12.94
2019,11,13,16.5,17,0,10,-0.02,12.94
2019,11,13,17,16.7,0,10,-0.031,12.67
2019,11,13,17.5,16.7,0,10,0,12.56
2019,11,13,18,15.3,0,4,0,11.84
2019,11,13,18.5,15.3,0,4,0,11.84
2019,11,13,19,14.6,0,2,0,11.69
2019,11,13,19.5,14.6,0,2,0,9.92
2019,11,13,20,14.4,0,4,0,10.8
2019,11,13,20.5,14.4,0,4,0,9.52
2019,11,13,21,14.8,0,4,0,8.99
